source	target	depth
evolutionary computation	universal darwinism	2
emergent algorithm	emergence	2
emergent algorithm	evolutionary computation	2
emergent algorithm	fuzzy logic	2
emergent algorithm	genetic algorithm	2
emergent algorithm	heuristic	2
citizen science	genealogy	2
citizen science	independent scientist	2
citizen science	independent scholar	2
citizen science	open science	2
citizen science	open-source intelligence	2
citizen science	open-source lab (book)	2
citizen science	outsider art	2
citizen science	participation (decision making)	2
citizen science	reinventing discovery	2
citizen science	popular science	2
citizen science	public participation	2
citizen science	scientific instrument	2
citizen science	virtual volunteering	2
case-based reasoning	abductive reasoning	2
case-based reasoning	duck test	2
case-based reasoning	i know it when i see it	2
case-based reasoning	commonsense reasoning	2
case-based reasoning	purposeful omission	2
case-based reasoning	decision tree	2
case-based reasoning	genetic algorithm	2
case-based reasoning	pattern matching	2
case-based reasoning	analogy	2
case-based reasoning	k-line (artificial intelligence)	2
case-based reasoning	ripple down rules	2
case-based reasoning	casuistry	2
case-based reasoning	similarity heuristic	2
business process automation	business-driven development	2
business process automation	business process model and notation	2
business process automation	business process reengineering	2
business process automation	business process execution language	2
business process automation	business rules engine	2
business process automation	comparison of business integration software	2
business process automation	job scheduler	2
business process automation	real-time enterprise	2
business process automation	runbook	2
behavior selection algorithm	cognitive model	2
behavior selection algorithm	behavioral modeling	2
behavior selection algorithm	behavioral modeling in hydrology	2
behavior selection algorithm	behavioral modeling in computer-aided design	2
behavior selection algorithm	behavioral modeling language	2
behavior selection algorithm	case-based reasoning	2
behavior selection algorithm	model-based reasoning	2
artificial intelligence arms race	arms race	2
artificial intelligence arms race	artificial intelligence	2
artificial intelligence arms race	artificial general intelligence	2
artificial intelligence arms race	ethics of artificial intelligence	2
artificial intelligence arms race	existential risk from artificial general intelligence	2
artificial intelligence arms race	global issue	2
artificial intelligence arms race	lethal autonomous weapon	2
artificial intelligence arms race	military robot	2
artificial intelligence arms race	unmanned combat aerial vehicle	2
abductive reasoning	argument	2
abductive reasoning	argumentation theory	2
abductive reasoning	attribution (psychology)	2
abductive reasoning	charles sanders peirce bibliography	2
abductive reasoning	critical thinking	2
abductive reasoning	defeasible reasoning	2
abductive reasoning	doug walton	2
abductive reasoning	duck test	2
abductive reasoning	gregory bateson	2
abductive reasoning	heuristic	2
abductive reasoning	inductive probability	2
abductive reasoning	logical reasoning	2
abductive reasoning	maximum likelihood	2
abductive reasoning	sensemaking	2
abductive reasoning	sign relation	2
abductive reasoning	statistical model	2
word2vec	autoencoder	2
word2vec	document-term matrix	2
word2vec	feature extraction	2
word2vec	feature learning	2
word2vec	language model	2
word2vec	vector space model	2
word2vec	thought vector	2
word2vec	fasttext	2
word2vec	glove (machine learning)	2
word2vec	normalized compression distance	2
text simplification	automated paraphrasing	2
text simplification	controlled natural language	2
text simplification	lexical simplification	2
text simplification	lexical substitution	2
text simplification	semantic compression	2
text simplification	text normalization	2
text simplification	simplified technical english	2
text simplification	basic english	2
text-proofing	american and british english spelling differences	2
text-proofing	distributed proofreaders	2
text-proofing	etaoin shrdlu	2
text-proofing	fact checking	2
text-proofing	galley proof	2
text-proofing	iso 5776	2
text-proofing	obelism	2
text-proofing	printing press check	2
text-proofing	style guide	2
text-proofing	typographical syntax	2
text-proofing	writing circle	2
speech processing	neurocomputational speech processing	2
speech processing	speech coding	2
speech processing	speech technology	2
speech processing	natural language processing	2
reification (linguistics)	drinker paradox	2
reification (linguistics)	nonfirstorderizability	2
reification (linguistics)	reification (computer science)	2
reification (linguistics)	reification (fallacy)	2
reification (linguistics)	reification (knowledge representation)	2
query expansion	document retrieval	2
query expansion	information retrieval	2
query expansion	linguistics	2
query expansion	morphology (linguistics)	2
query expansion	natural language processing	2
query expansion	search engine	2
query expansion	search engine indexing	2
query expansion	stemming	2
natural language user interface	conversational user interface	2
natural language user interface	natural user interface	2
natural language user interface	natural-language programming	2
natural language user interface	voice user interface	2
natural language user interface	chatterbot	2
natural language user interface	noisy text	2
natural language user interface	question answering	2
natural language user interface	selection-based search	2
natural language user interface	semantic search	2
natural language user interface	semantic query	2
natural language user interface	semantic web	2
natural language programming	controlled natural language	2
natural language programming	context-free language	2
natural language programming	domain-specific language	2
natural language programming	end-user programming	2
natural language programming	knowledge representation	2
natural language programming	natural-language processing	2
natural language programming	automatic programming	2
natural language programming	very high-level programming language	2
natural language programming	applescript	2
natural language programming	attempto controlled english	2
natural language programming	cobol	2
natural language programming	cleartalk	2
natural language programming	flow-matic	2
natural language programming	hypertalk	2
natural language programming	inform 7	2
natural language programming	joss	2
natural language programming	software ag	2
natural language programming	transcript (programming language)	2
natural language programming	structured query language	2
natural language programming	xtalk	2
native-language identification	crosslinguistic influence	2
native-language identification	foreign language writing aid	2
native-language identification	computer-assisted language learning	2
native-language identification	language education	2
native-language identification	natural language processing	2
native-language identification	language transfer	2
latent semantic indexing	coh-metrix	2
latent semantic indexing	compound term processing	2
latent semantic indexing	distributional semantics	2
latent semantic indexing	explicit semantic analysis	2
latent semantic indexing	latent semantic mapping	2
latent semantic indexing	latent semantic structure indexing	2
latent semantic indexing	principal components analysis	2
latent semantic indexing	probabilistic latent semantic analysis	2
latent semantic indexing	spamdexing	2
latent semantic indexing	word vector	2
latent semantic indexing	topic model	2
latent semantic indexing	latent dirichlet allocation	2
information retrieval	adversarial information retrieval	2
information retrieval	collaborative information seeking	2
information retrieval	computer memory	2
information retrieval	controlled vocabulary	2
information retrieval	cross-language information retrieval	2
information retrieval	data mining	2
information retrieval	european summer school in information retrieval	2
information retrieval	human–computer information retrieval	2
information retrieval	information extraction	2
information retrieval	information retrieval facility	2
information retrieval	knowledge visualization	2
information retrieval	multimedia information retrieval	2
information retrieval	personal information management	2
information retrieval	relevance (information retrieval)	2
information retrieval	relevance feedback	2
information retrieval	nearest centroid classifier	2
information retrieval	index (search engine)	2
information retrieval	social information seeking	2
information retrieval	special interest group on information retrieval	2
information retrieval	subject indexing	2
information retrieval	temporal information retrieval	2
information retrieval	tf-idf	2
information retrieval	xml retrieval	2
information retrieval	web mining	2
information extraction	ontology extraction	2
information extraction	applications of artificial intelligence	2
information extraction	concept mining	2
information extraction	darpa tipster program	2
information extraction	enterprise search	2
information extraction	faceted search	2
information extraction	knowledge extraction	2
information extraction	named entity recognition	2
information extraction	nutch	2
information extraction	semantic translation	2
information extraction	textmining	2
information extraction	web scraping	2
information extraction	open information extraction	2
information extraction	data extraction	2
foreign language writing aid	computer-assisted language learning	2
foreign language writing aid	foreign-language reading aid	2
foreign language writing aid	language education	2
foreign language writing aid	second language	2
foreign language reading aid	anki (software)	2
foreign language reading aid	babbel	2
foreign language reading aid	the alpheios project	2
foreign language reading aid	community language learning	2
foreign language reading aid	duolingo	2
foreign language reading aid	intelligent computer-assisted language instruction	2
foreign language reading aid	glossary of language teaching terms and ideas	2
foreign language reading aid	language acquisition	2
foreign language reading aid	language education	2
foreign language reading aid	language exchange	2
foreign language reading aid	language immersion	2
foreign language reading aid	language mooc	2
foreign language reading aid	online learning community	2
foreign language reading aid	second language acquisition	2
foreign language reading aid	smigin	2
foreign language reading aid	tandem language learning	2
foreign language reading aid	virtual world language learning	2
foreign language reading aid	social media language learning	2
distributional semantics	co-occurrence	2
distributional semantics	gensim	2
distributional semantics	phraseme	2
distributional semantics	random indexing	2
distributional semantics	sentence embedding	2
distributional semantics	statistical semantics	2
distributional semantics	word2vec	2
distributional semantics	word embedding	2
distributional semantics	scott deerwester	2
distributional semantics	susan dumais	2
distributional semantics	j. r. firth	2
distributional semantics	george furnas	2
distributional semantics	zellig harris	2
distributional semantics	richard hirschman	2
distributional semantics	thomas landauer	2
distributional semantics	magnus sahlgren	2
distributional semantics	hinrich schütze	2
deep linguistic processing	combinatory categorial grammar	2
deep linguistic processing	head-driven phrase structure grammar	2
deep linguistic processing	lexical functional grammar	2
deep linguistic processing	natural language processing	2
deep linguistic processing	tree-adjoining grammar	2
deep learning	applications of artificial intelligence	2
deep learning	comparison of deep learning software	2
deep learning	compressed sensing	2
deep learning	echo state network	2
deep learning	liquid state machine	2
deep learning	reservoir computing	2
deep learning	sparse coding	2
controlled natural language	constructed language	2
controlled natural language	knowledge representation and reasoning	2
controlled natural language	natural language processing	2
controlled natural language	controlled vocabulary	2
controlled natural language	controlled language in machine translation	2
controlled natural language	structured english	2
controlled natural language	simple english wikipedia	2
computer-assisted reviewing	computer-assisted translation	2
computer-assisted reviewing	language industry	2
computer-assisted reviewing	translation memory	2
computational linguistics	artificial intelligence in fiction	2
computational linguistics	collostructional analysis	2
computational linguistics	computational lexicology	2
computational linguistics	computational linguistics (journal)	2
computational linguistics	computational models of language acquisition	2
computational linguistics	computational semantics	2
computational linguistics	computational semiotics	2
computational linguistics	computer-assisted reviewing	2
computational linguistics	dialog systems	2
computational linguistics	glottochronology	2
computational linguistics	grammar induction	2
computational linguistics	human speechome project	2
computational linguistics	internet linguistics	2
computational linguistics	lexicostatistics	2
computational linguistics	natural language processing	2
computational linguistics	natural language user interface	2
computational linguistics	quantitative linguistics	2
computational linguistics	semantic relatedness	2
computational linguistics	semantometrics	2
computational linguistics	systemic functional linguistics	2
computational linguistics	translation memory	2
computational linguistics	universal networking language	2
compound term processing	concept searching limited	2
compound term processing	enterprise search	2
compound term processing	information retrieval	2
